iata;icao;name;runways;longest;elevation;country;region;city;lat;lon
BKW;KBKW;Raleigh County Memorial Airport;2;6750;2504;US;US-WV;Beckley;37.7873001099;-81.1241989136
HGR;KHGR;Hagerstown Regional Richard A Henson Field;2;5461;703;US;US-MD;Hagerstown;39.707901;-77.72949982
JST;KJST;John Murtha Johnstown Cambria County Airport;3;7003;2284;US;US-PA;Johnstown;40.3161010742188;-78.8339004516602
LNS;KLNS;Lancaster Airport;2;6934;403;US;US-PA;Lancaster;40.1217002868652;-76.2960968017578
MGW;KMGW;Morgantown Municipal Walter L. Bill Hart Field;2;5199;1248;US;US-WV;Morgantown;39.64289856;-79.91629791
SHD;KSHD;Shenandoah Valley Regional Airport;1;6002;1201;US;US-VA;Staunton/Waynesboro/Harrisonburg;38.2638015747;-78.8964004517
ITH;KITH;Ithaca Tompkins Regional Airport;2;6601;1099;US;US-NY;Ithaca;42.4910011291504;-76.4583969116211
GFK;KGFK;Grand Forks International Airport;4;7349;845;US;US-ND;Grand Forks;47.9492988586426;-97.1761016845703
AZA;KIWA;Phoenix-Mesa-Gateway Airport;3;10401;1382;US;US-AZ;Phoenix;33.30780029;-111.6549988
RFD;KRFD;Chicago Rockford International Airport;2;10004;742;US;US-IL;Chicago/Rockford;42.1954002380371;-89.0971984863281
ABR;KABR;Aberdeen Regional Airport;2;6901;1302;US;US-SD;Aberdeen;45.4491004943848;-98.4217987060547
APN;KAPN;Alpena County Regional Airport;2;9001;690;US;US-MI;Alpena;45.0780983;-83.56030273
ATY;KATY;Watertown Regional Airport;2;6900;1749;US;US-SD;Watertown;44.91400146;-97.15470123
BJI;KBJI;Bemidji Regional Airport;2;6598;1391;US;US-MN;Bemidji;47.50939941;-94.93370056
BRD;KBRD;Brainerd Lakes Regional Airport;4;6500;1232;US;US-MN;Brainerd;46.39830017;-94.13809967
HIB;KHIB;Range Regional Airport;2;6758;1354;US;US-MN;Hibbing;47.38660049;-92.83899689
IMT;KIMT;Ford Airport;2;6500;1182;US;US-MI;Iron Mountain / Kingsford;45.8184013367;-88.1145019531
INL;KINL;Falls International Airport;2;6508;1185;US;US-MN;International Falls;48.5662002563477;-93.4030990600586
RHI;KRHI;Rhinelander Oneida County Airport;3;6800;1624;US;US-WI;Rhinelander;45.6311988830566;-89.4674987792969
ACK;KACK;Nantucket Memorial Airport;3;6303;47;US;US-MA;Nantucket;41.25310135;-70.06020355
AUG;KAUG;Augusta State Airport;2;5001;352;US;US-ME;Augusta;44.3205986023;-69.7973022461
BHB;KBHB;Hancock County-Bar Harbor Airport;3;5200;83;US;US-ME;Bar Harbor;44.45000076;-68.3615036
HYA;KHYA;Barnstable Municipal Boardman Polando Field;2;5425;54;US;US-MA;Hyannis;41.66930008;-70.28040314
LEB;KLEB;Lebanon Municipal Airport;2;5496;603;US;US-NH;Lebanon;43.6260986328;-72.3041992188
MVY;KMVY;Martha's Vineyard Airport;3;5504;67;US;US-MA;Martha's Vineyard;41.3931007385;-70.6143035889
PQI;KPQI;Northern Maine Regional Airport at Presque Isle;2;7440;534;US;US-ME;Presque Isle;46.68899918;-68.0447998
PVC;KPVC;Provincetown Municipal Airport;1;3500;9;US;US-MA;Provincetown;42.0718994141;-70.2213973999
RKD;KRKD;Knox County Regional Airport;2;5007;56;US;US-ME;Rockland;44.06010056;-69.09919739
RUT;KRUT;Rutland - Southern Vermont Regional Airport;2;5000;787;US;US-VT;Rutland;43.52939987;-72.94960022
SLK;KSLK;Adirondack Regional Airport;2;6573;1663;US;US-NY;Saranac Lake;44.3852996826172;-74.2061996459961
BET;PABE;Bethel Airport;3;6400;126;US;US-AK;Bethel;60.77980042;-161.8379974
BRW;PABR;Wiley Post Will Rogers Memorial Airport;1;6500;44;US;US-AK;Barrow;71.285400390625;-156.766006469727
CDB;PACD;Cold Bay Airport;2;10415;96;US;US-AK;Cold Bay;55.2061004638672;-162.725006103516
CDV;PACV;Merle K (Mudhole) Smith Airport;2;7500;54;US;US-AK;Cordova;60.4917984;-145.4779968
